"animal_id","water_year","first_detection_startup_1","last_detection_startup_1","last_detection_startup_2","first_detection_endup","route_cluster","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0431-2009-05-15",2017,2017-02-20 00:44:48,2017-02-22 23:57:35,2017-02-23 19:25:58,2017-04-03 03:54:44,1,1,"up",2017-02-23 19:25:58,44055.0526315789,63495.1578947368,38.3533101851852,50.6511904757143,51.5319616971429
"UCDHIST-GS0432-2009-05-20",2013,2013-03-26 14:04:58,2013-03-27 12:53:15,2013-03-29 03:35:41,2013-04-13 02:38:16,1,1,"up",2013-03-29 03:35:41,8905.46666666667,14162.1333333333,14.9601273148148,61.6148809528571,58.0297619028571
"UCDHIST-GS0434-2009-08-19",2014,2014-02-20 21:50:34,2014-02-22 19:40:27,2014-02-26 02:24:27,2014-03-16 08:49:50,1,1,"up",2014-02-26 02:24:27,11441.4736842105,17654.1578947368,18.2676273148148,56.8482142871429,56.3142857142857
"UCDHIST-GS0435-2009-08-20",2013,2013-03-17 07:20:02,2013-03-20 01:28:43,2013-03-20 22:31:03,2013-04-04 15:15:37,1,1,"up",2013-03-20 22:31:03,7271.26666666667,12741.9333333333,14.6976157407407,58.2071428542857,58.1702380957143
"UCDHIST-GS0435-2009-08-20",2017,2017-03-16 02:35:52,2017-03-16 18:51:29,2017-03-18 01:44:13,2017-04-12 09:53:28,0,1,"up",2017-03-18 01:44:13,25924.9615384615,57735.6923076923,25.3397569444444,55.6987836442857,56.4969313814286
"UCDHIST-GS0436-2009-08-25",2014,2014-03-27 02:57:12,2014-03-28 08:59:18,2014-03-29 07:00:07,2014-04-12 04:01:58,1,1,"up",2014-03-29 07:00:07,8248.46153846154,12533.3846153846,13.8762847222222,59.0833333328571,61.0758799171429
"UCDHIST-GS0437-2009-08-26",2011,2011-04-20 02:46:24,2011-06-07 11:33:46,2011-05-30 10:49:47,NA,NA,0,"up",2011-05-30 10:49:47,NA,NA,NA,59.5428571442857,60.9279761914286
"UCDHIST-GS0437-2009-08-26",2012,2012-05-01 22:08:18,2012-07-04 07:48:46,2012-07-01 09:17:15,NA,NA,0,"up",2012-07-01 09:17:15,NA,NA,NA,70.6988095242857,68.2023809528571
"UCDHIST-GS0437-2009-08-26",2013,2013-04-23 15:55:52,2014-02-08 17:39:59,2013-08-04 09:22:41,NA,NA,0,"up",2013-08-04 09:22:41,9203,15158,NA,70.0776656314286,70.9524844714286
"UCDHIST-GS0437-2009-08-26",2014,2014-02-08 18:01:43,2014-02-10 20:26:54,2014-02-13 02:54:02,2014-03-02 10:10:57,0,1,"up",2014-02-13 02:54:02,5978.88888888889,10571.4444444444,17.3034143518519,55.3190476185714,51.6386904757143
"UCDHIST-GS0437-2009-08-26",2016,2016-04-30 22:50:25,2017-08-05 14:52:22,2016-08-15 09:52:16,NA,NA,0,"up",2016-08-15 09:52:16,7565,15113,NA,71.8755952371429,71.75059524
"UCDHIST-GS0437-2009-08-26",2017,2017-08-05 15:18:20,2018-04-06 10:17:36,2017-08-08 11:00:22,NA,NA,0,"up",2017-08-08 11:00:22,7382,16050,NA,72.1994047614286,73.52739899
"UCDHIST-GS0439-2009-09-11",2013,2013-03-27 06:14:21,2013-03-31 15:18:02,2013-04-02 19:54:37,2013-04-20 04:16:33,1,1,"up",2013-04-02 19:54:37,8173.58823529412,13389.5294117647,17.3485648148148,62.5613095242857,59.0916666671429
"UCDHIST-GS0440-2009-09-11",2013,2013-04-14 17:21:56,2013-04-19 10:38:12,2013-04-25 00:28:20,2013-05-17 08:40:03,0,1,"up",2013-04-25 00:28:20,8627.26086956522,10152.9130434783,22.3414699074074,65.5172619057143,62.7488095228571
"UCDHIST-GS0440-2009-09-11",2017,2017-03-23 23:04:21,2017-03-26 19:40:59,2017-03-30 12:11:06,2017-05-11 08:39:02,1,1,"up",2017-03-30 12:11:06,28252.1904761905,54489.8095238095,41.8527314814815,57.6434523814286,55.8607401657143
"UCDHIST-GS0441-2009-09-26",2013,2013-04-01 20:07:22,2013-04-02 18:07:07,2013-04-05 23:03:23,2013-04-15 20:07:03,1,1,"up",2013-04-05 23:03:23,8927.7,14213.4,9.8775462962963,61.775,61.0142857142857
"UCDHIST-GS0441-2009-09-26",2016,2016-03-30 17:36:29,2016-03-31 08:43:43,2016-03-31 23:11:19,2016-04-11 18:54:47,0,1,"up",2016-03-31 23:11:19,9400.18181818182,19838,10.8218518518519,60.36607143,57.3173469385714
"UCDHIST-GS0442-2009-09-26",2015,2015-03-18 17:33:10,2015-03-20 01:48:57,2015-03-26 09:05:00,2015-04-12 00:53:05,1,1,"up",2015-03-26 09:05:00,4191.625,5988.0625,16.6583912037037,65.0767857157143,63.7141821957143
"UCDHIST-GS0443-2009-09-26",2013,2013-03-15 09:31:39,2013-03-20 22:35:01,2013-03-27 10:15:26,2013-04-09 04:44:22,1,1,"up",2013-03-27 10:15:26,8602.58333333333,13729,12.7700925925926,60.3202380957143,58.46785714
"UCDHIST-GS0444-2009-10-11",2012,2012-03-13 05:14:54,2012-03-13 18:46:06,2012-03-14 06:27:34,2012-03-25 22:19:59,0,1,"up",2012-03-14 06:27:34,11792.5454545455,26037.6666666667,11.661400462963,54.01547619,53.3945134571429
"UCDHIST-GS0444-2009-10-11",2015,2015-03-22 23:33:21,2015-03-26 14:29:22,2015-03-27 21:57:19,2015-04-09 07:27:52,1,1,"up",2015-03-27 21:57:19,4152.76923076923,5935.38461538462,12.3962152777778,65.0172619057143,63.7981107671429
"UCDHIST-GS0445-2009-10-11",2013,2013-02-21 10:55:42,2013-02-22 00:41:56,2013-02-24 04:03:15,2013-03-28 12:00:30,1,1,"up",2013-02-24 04:03:15,6239.48484848485,12184.5151515152,32.3314236111111,51.6190476185714,51.3339285728571
"UCDHIST-GS0445-2009-10-11",2017,2017-02-13 09:14:28,2017-02-15 12:16:31,2017-02-17 05:40:22,2017-03-20 17:13:57,1,1,"up",2017-02-17 05:40:22,62965.0625,66278.65625,31.4816550925926,51.3581521742857,52.5136904757143
"UCDHIST-GS0446-2009-10-11",2014,2014-02-10 13:40:36,2014-02-11 02:52:36,2014-02-12 14:14:03,2014-03-15 12:01:39,0,1,"up",2014-02-12 14:14:03,8724,14700.3870967742,30.9080555555556,54.9946428571429,51.4017857128571
"UCDHIST-GS0452-2009-10-23",2012,2012-04-03 21:25:36,2012-04-06 00:55:51,2012-04-06 14:00:02,2012-04-26 22:12:46,0,1,"up",2012-04-06 14:00:02,10532.05,21830.8,20.3421759259259,57.25059524,55.51190476
