"gauge","date","flow_cfs"
"HMC",2006-10-30,5631
"HMC",2006-10-31,5631
"HMC",2006-11-01,5622
"HMC",2006-11-02,5844
"HMC",2006-11-03,6052
"HMC",2006-11-04,6085
"HMC",2006-11-05,6024
"HMC",2006-11-06,6039
"HMC",2006-11-07,6018
"HMC",2006-11-08,5998
"HMC",2006-11-09,5978
"HMC",2006-11-10,NA
"HMC",2006-11-11,NA
"HMC",2006-11-12,NA
"HMC",2006-11-13,6371
"HMC",2006-11-14,6712
"HMC",2006-11-15,6912
"HMC",2006-11-16,6666
"HMC",2006-11-17,6548
"HMC",2006-11-18,6507
"HMC",2006-11-19,6393
"HMC",2006-11-20,6329
"HMC",2006-11-21,6277
"HMC",2006-11-22,6365
"HMC",2006-11-23,6422
"HMC",2006-11-24,6532
"HMC",2006-11-25,6388
"HMC",2006-11-26,6414
"HMC",2006-11-27,6780
"HMC",2006-11-28,7054
"HMC",2006-11-29,6559
"HMC",2006-11-30,6411
"HMC",2006-12-01,6340
"HMC",2006-12-02,6273
"HMC",2006-12-03,6251
"HMC",2006-12-04,6260
"HMC",2006-12-05,6269
"HMC",2006-12-06,6277
"HMC",2006-12-07,6300
"HMC",2006-12-08,6299
"HMC",2006-12-09,6460
"HMC",2006-12-10,7000
"HMC",2006-12-11,7711
"HMC",2006-12-12,8505
"HMC",2006-12-13,14249
"HMC",2006-12-14,18928
"HMC",2006-12-15,13017
"HMC",2006-12-16,11427
"HMC",2006-12-17,8869
"HMC",2006-12-18,8022
"HMC",2006-12-19,7530
"HMC",2006-12-20,7319
"HMC",2006-12-21,7178
"HMC",2006-12-22,7439
"HMC",2006-12-23,7490
"HMC",2006-12-24,7249
"HMC",2006-12-25,7140
"HMC",2006-12-26,7260
"HMC",2006-12-27,23958
"HMC",2006-12-28,14245
"HMC",2006-12-29,9663
"HMC",2006-12-30,8514
"HMC",2006-12-31,8006
"HMC",2007-01-01,7706
"HMC",2007-01-02,7476
"HMC",2007-01-03,7349
"HMC",2007-01-04,8025
"HMC",2007-01-05,8788
"HMC",2007-01-06,7995
"HMC",2007-01-07,7632
"HMC",2007-01-08,7307
"HMC",2007-01-09,7057
"HMC",2007-01-10,6889
"HMC",2007-01-11,6760
"HMC",2007-01-12,6620
"HMC",2007-01-13,6527
"HMC",2007-01-14,6439
"HMC",2007-01-15,6448
"HMC",2007-01-16,6383
"HMC",2007-01-17,6345
"HMC",2007-01-18,6334
"HMC",2007-01-19,6166
"HMC",2007-01-20,6071
"HMC",2007-01-21,6081
"HMC",2007-01-22,6042
"HMC",2007-01-23,6040
"HMC",2007-01-24,6004
"HMC",2007-01-25,5917
"HMC",2007-01-26,5881
"HMC",2007-01-27,5934
"HMC",2007-01-28,5983
"HMC",2007-01-29,6227
"HMC",2007-01-30,6321
"HMC",2007-01-31,6399
"HMC",2007-02-01,6339
"HMC",2007-02-02,6230
"HMC",2007-02-03,6286
"HMC",2007-02-04,6342
"HMC",2007-02-05,6398
"HMC",2007-02-06,6369
"HMC",2007-02-07,6433
"HMC",2007-02-08,6716
"HMC",2007-02-09,9635
"HMC",2007-02-10,28988
"HMC",2007-02-11,41257
"HMC",2007-02-12,16963
"HMC",2007-02-13,12077
"HMC",2007-02-14,10364
"HMC",2007-02-15,9190
"HMC",2007-02-16,8530
"HMC",2007-02-17,8225
"HMC",2007-02-18,7971
"HMC",2007-02-19,7729
"HMC",2007-02-20,7591
"HMC",2007-02-21,7480
"HMC",2007-02-22,8727
"HMC",2007-02-23,12580
"HMC",2007-02-24,9383
"HMC",2007-02-25,10889
"HMC",2007-02-26,12009
"HMC",2007-02-27,10508
"HMC",2007-02-28,10998
"HMC",2007-03-01,10424
"HMC",2007-03-02,8967
"HMC",2007-03-03,8516
"HMC",2007-03-04,8291
"HMC",2007-03-05,8132
"HMC",2007-03-06,7915
"HMC",2007-03-07,7834
"HMC",2007-03-08,7841
"HMC",2007-03-09,7772
"HMC",2007-03-10,7660
"HMC",2007-03-11,7536
"HMC",2007-03-12,7685
"HMC",2007-03-13,7823
"HMC",2007-03-14,7817
"HMC",2007-03-15,7646
"HMC",2007-03-16,7494
"HMC",2007-03-17,7373
"HMC",2007-03-18,7352
"HMC",2007-03-19,7264
"HMC",2007-03-20,7186
"HMC",2007-03-21,7142
"HMC",2007-03-22,6957
"HMC",2007-03-23,6709
"HMC",2007-03-24,6580
"HMC",2007-03-25,6611
"HMC",2007-03-26,7172
"HMC",2007-03-27,7487
"HMC",2007-03-28,7516
"HMC",2007-03-29,7248
"HMC",2007-03-30,7291
"HMC",2007-03-31,7142
"HMC",2007-04-01,7227
"HMC",2007-04-02,7485
"HMC",2007-04-03,7336
"HMC",2007-04-04,7303
"HMC",2007-04-05,7358
"HMC",2007-04-06,7512
"HMC",2007-04-07,7572
"HMC",2007-04-08,7644
"HMC",2007-04-09,7603
"HMC",2007-04-10,7464
"HMC",2007-04-11,7302
"HMC",2007-04-12,7304
"HMC",2007-04-13,7268
"HMC",2007-04-14,7350
"HMC",2007-04-15,7584
"HMC",2007-04-16,7495
"HMC",2007-04-17,7385
"HMC",2007-04-18,7296
"HMC",2007-04-19,7090
"HMC",2007-04-20,6982
"HMC",2007-04-21,6540
"HMC",2007-04-22,7033
"HMC",2007-04-23,8836
"HMC",2007-04-24,7292
"HMC",2007-04-25,6913
"HMC",2007-04-26,6704
"HMC",2007-04-27,6561
"HMC",2007-04-28,6374
"HMC",2007-04-29,6256
"HMC",2007-04-30,6777
"HMC",2007-05-01,6790
"HMC",2007-05-02,6923
"HMC",2007-05-03,7348
"HMC",2007-05-04,8414
"HMC",2007-05-05,7494
"HMC",2007-05-06,7327
"HMC",2007-05-07,7505
"HMC",2007-05-08,7034
"HMC",2007-05-09,7577
"HMC",2007-05-10,7107
"HMC",2007-05-11,7029
"HMC",2007-05-12,7375
"HMC",2007-05-13,7452
"HMC",2007-05-14,7536
"HMC",2007-05-15,7169
"HMC",2007-05-16,7938
"HMC",2007-05-17,7097
"HMC",2007-05-18,7360
"HMC",2007-05-19,6957
"HMC",2007-05-20,6970
"HMC",2007-05-21,7127
"HMC",2007-05-22,7153
"HMC",2007-05-23,7195
"HMC",2007-05-24,7028
"HMC",2007-05-25,6792
"HMC",2007-05-26,6457
"HMC",2007-05-27,6781
"HMC",2007-05-28,7370
"HMC",2007-05-29,7319
"HMC",2007-05-30,NA
"HMC",2007-05-31,7198
"HMC",2007-06-01,7345
"HMC",2007-06-02,7736
"HMC",2007-06-03,7784
"HMC",2007-06-04,7814
"HMC",2007-06-05,7869
"HMC",2007-06-06,7831
"HMC",2007-06-07,7822
"HMC",2007-06-08,7731
"HMC",2007-06-09,7760
"HMC",2007-06-10,7838
"HMC",2007-06-11,7768
"HMC",2007-06-12,7649
"HMC",2007-06-13,7491
"HMC",2007-06-14,7448
"HMC",2007-06-15,7364
"HMC",2007-06-16,7808
"HMC",2007-06-17,8082
"HMC",2007-06-18,8126
"HMC",2007-06-19,8131
"HMC",2007-06-20,8456
"HMC",2007-06-21,8330
"HMC",2007-06-22,8442
"HMC",2007-06-23,8829
"HMC",2007-06-24,8887
"HMC",2007-06-25,NA
"HMC",2007-06-26,NA
"HMC",2007-06-27,NA
"HMC",2007-06-28,NA
"HMC",2007-06-29,NA
"HMC",2007-06-30,NA
"HMC",2007-07-01,NA
"HMC",2007-07-02,NA
"HMC",2007-07-03,10134
"HMC",2007-07-04,10081
"HMC",2007-07-05,10103
"HMC",2007-07-06,10028
"HMC",2007-07-07,9856
"HMC",2007-07-08,10274
"HMC",2007-07-09,10216
"HMC",2007-07-10,10341
"HMC",2007-07-11,10239
"HMC",2007-07-12,10191
"HMC",2007-07-13,10195
"HMC",2007-07-14,10355
"HMC",2007-07-15,10501
"HMC",2007-07-16,10347
"HMC",2007-07-17,10361
"HMC",2007-07-18,10723
"HMC",2007-07-19,10948
"HMC",2007-07-20,10762
"HMC",2007-07-21,10568
"HMC",2007-07-22,10488
"HMC",2007-07-23,10580
"HMC",2007-07-24,10471
"HMC",2007-07-25,10467
"HMC",2007-07-26,10427
"HMC",2007-07-27,10193
"HMC",2007-07-28,9814
"HMC",2007-07-29,9063
"HMC",2007-07-30,9280
"HMC",2007-07-31,9237
"HMC",2007-08-01,9222
"HMC",2007-08-02,9042
"HMC",2007-08-03,9175
"HMC",2007-08-04,9208
"HMC",2007-08-05,9114
"HMC",2007-08-06,9043
"HMC",2007-08-07,9157
"HMC",2007-08-08,9440
"HMC",2007-08-09,9206
"HMC",2007-08-10,8921
"HMC",2007-08-11,8963
"HMC",2007-08-12,8876
"HMC",2007-08-13,9031
"HMC",2007-08-14,9279
"HMC",2007-08-15,8498
"HMC",2007-08-16,8112
"HMC",2007-08-17,8087
"HMC",2007-08-18,7761
"HMC",2007-08-19,7507
"HMC",2007-08-20,7488
"HMC",2007-08-21,7621
"HMC",2007-08-22,7536
"HMC",2007-08-23,7588
"HMC",2007-08-24,7225
"HMC",2007-08-25,7198
"HMC",2007-08-26,7060
"HMC",2007-08-27,7089
"HMC",2007-08-28,7045
"HMC",2007-08-29,7073
"HMC",2007-08-30,7194
"HMC",2007-08-31,7289
"HMC",2007-09-01,7305
"HMC",2007-09-02,7426
"HMC",2007-09-03,7557
"HMC",2007-09-04,7576
"HMC",2007-09-05,7586
"HMC",2007-09-06,7583
"HMC",2007-09-07,7579
"HMC",2007-09-08,7260
"HMC",2007-09-09,7195
"HMC",2007-09-10,7283
"HMC",2007-09-11,7116
"HMC",2007-09-12,7163
"HMC",2007-09-13,7335
"HMC",2007-09-14,7443
"HMC",2007-09-15,7109
"HMC",2007-09-16,7036
"HMC",2007-09-17,6905
"HMC",2007-09-18,6923
"HMC",2007-09-19,6962
"HMC",2007-09-20,7010
"HMC",2007-09-21,7031
"HMC",2007-09-22,7210
"HMC",2007-09-23,7383
"HMC",2007-09-24,7351
"HMC",2007-09-25,7317
"HMC",2007-09-26,6992
"HMC",2007-09-27,6849
"HMC",2007-09-28,6817
"HMC",2007-09-29,6825
"HMC",2007-09-30,6850
"HMC",2007-10-01,6892
"HMC",2007-10-02,6883
"HMC",2007-10-03,6861
"HMC",2007-10-04,6825
"HMC",2007-10-05,6578
"HMC",2007-10-06,6487
"HMC",2007-10-07,6411
"HMC",2007-10-08,6330
"HMC",2007-10-09,6209
"HMC",2007-10-10,6154
"HMC",2007-10-11,6220
"HMC",2007-10-12,6108
"HMC",2007-10-13,6160
"HMC",2007-10-14,6140
"HMC",2007-10-15,6212
"HMC",2007-10-16,6342
"HMC",2007-10-17,6342
"HMC",2007-10-18,5937
"HMC",2007-10-19,5838
"HMC",2007-10-20,6589
"HMC",2007-10-21,6274
"HMC",2007-10-22,5963
"HMC",2007-10-23,5901
"HMC",2007-10-24,5667
"HMC",2007-10-25,5637
"HMC",2007-10-26,5608
"HMC",2007-10-27,5553
"HMC",2007-10-28,5556
"HMC",2007-10-29,5631
"HMC",2007-10-30,5612
"HMC",2007-10-31,5574
"HMC",2007-11-01,5523
"HMC",2007-11-02,5461
"HMC",2007-11-03,5396
"HMC",2007-11-04,5445
"HMC",2007-11-05,5447
"HMC",2007-11-06,5480
"HMC",2007-11-07,5551
"HMC",2007-11-08,5584
"HMC",2007-11-09,5607
"HMC",2007-11-10,5610
"HMC",2007-11-11,5722
"HMC",2007-11-12,5730
"HMC",2007-11-13,5736
"HMC",2007-11-14,5738
"HMC",2007-11-15,5822
"HMC",2007-11-16,5931
"HMC",2007-11-17,5997
"HMC",2007-11-18,5985
"HMC",2007-11-19,5921
"HMC",2007-11-20,5963
