"animal_id","water_year","last_detection_startup_2","first_detection_endup","status","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0437-2009-08-26",2011,2011-05-30 10:49:47,NA,"up_incomplete",0,"up",2011-05-30 10:49:47,NA,NA,NA,59.5428571442857,60.9279761914286
"UCDHIST-GS0437-2009-08-26",2012,2012-07-01 09:17:15,NA,"up_incomplete",0,"up",2012-07-01 09:17:15,NA,NA,NA,70.6988095242857,68.2023809528571
"UCDHIST-GS0437-2009-08-26",2013,2013-08-04 09:22:41,NA,"up_incomplete",0,"up",2013-08-04 09:22:41,9203,15158,NA,70.0776656314286,70.9524844714286
"UCDHIST-GS0437-2009-08-26",2014,2014-02-13 02:54:02,2014-03-02 10:10:57,"up_complete",1,"up",2014-02-13 02:54:02,5978.88888888889,10571.4444444444,17.3034143518519,55.3190476185714,51.6386904757143
"UCDHIST-GS0437-2009-08-26",2016,2016-08-15 09:52:16,NA,"up_incomplete",0,"up",2016-08-15 09:52:16,7565,15113,NA,71.8755952371429,71.75059524
"UCDHIST-GS0437-2009-08-26",2017,2017-08-08 11:00:22,NA,"up_incomplete",0,"up",2017-08-08 11:00:22,7382,16050,NA,72.1994047614286,73.52739899
"UCDHIST-GS0439-2009-09-11",2013,2013-04-02 19:54:37,2013-04-20 04:16:33,"up_complete",1,"up",2013-04-02 19:54:37,8173.58823529412,13389.5294117647,17.3485648148148,62.5613095242857,59.0916666671429
"UCDHIST-GS0440-2009-09-11",2013,2013-04-25 00:28:20,2013-05-17 08:40:03,"up_complete",1,"up",2013-04-25 00:28:20,8627.26086956522,10152.9130434783,22.3414699074074,65.5172619057143,62.7488095228571
"UCDHIST-GS0440-2009-09-11",2017,2017-03-30 12:11:06,2017-05-11 08:39:02,"up_complete",1,"up",2017-03-30 12:11:06,28252.1904761905,54489.8095238095,41.8527314814815,57.6434523814286,55.8607401657143
"UCDHIST-GS0441-2009-09-26",2013,2013-04-05 23:03:23,2013-04-15 20:07:03,"up_complete",1,"up",2013-04-05 23:03:23,8927.7,14213.4,9.8775462962963,61.775,61.0142857142857
"UCDHIST-GS0441-2009-09-26",2016,2016-03-31 23:11:19,2016-04-11 18:54:47,"up_complete",1,"up",2016-03-31 23:11:19,9400.18181818182,19838,10.8218518518519,60.36607143,57.3173469385714
"UCDHIST-GS0442-2009-09-26",2015,2015-03-26 09:05:00,2015-04-12 00:53:05,"up_complete",1,"up",2015-03-26 09:05:00,4191.625,5988.0625,16.6583912037037,65.0767857157143,63.7141821957143
"UCDHIST-GS0443-2009-09-26",2013,2013-03-27 10:15:26,2013-04-09 04:44:22,"up_complete",1,"up",2013-03-27 10:15:26,8602.58333333333,13729,12.7700925925926,60.3202380957143,58.46785714
"UCDHIST-GS0443-2009-09-26",2019,2019-03-31 14:42:52,2019-04-23 07:05:25,"up_complete",1,"up",2019-03-31 14:42:52,36694.6086956522,54324.3043478261,22.6823263888889,57.6285714285714,55.6
"UCDHIST-GS0444-2009-10-11",2012,2012-03-14 06:27:34,2012-03-25 22:19:59,"up_complete",1,"up",2012-03-14 06:27:34,11792.5454545455,26037.6666666667,11.661400462963,54.01547619,53.3945134571429
"UCDHIST-GS0444-2009-10-11",2015,2015-03-27 21:57:19,2015-04-09 07:27:52,"up_complete",1,"up",2015-03-27 21:57:19,4152.76923076923,5935.38461538462,12.3962152777778,65.0172619057143,63.7981107671429
"UCDHIST-GS0444-2009-10-11",2019,2019-03-25 20:54:13,2019-05-26 14:37:15,"up_complete",1,"up",2019-03-25 20:54:13,22401.7096774194,41377.6935483871,61.7382175925926,56,56.4857142857143
"UCDHIST-GS0445-2009-10-11",2013,2013-02-24 04:03:15,2013-03-28 12:00:30,"up_complete",1,"up",2013-02-24 04:03:15,6239.48484848485,12184.5151515152,32.3314236111111,51.6190476185714,51.3339285728571
